Time,weighted_hs,unweighted_hs,sample_size,day_type
Weekday,0.2742230347349177,0.2949851902469472,10,Weekday
Weekday,0.2528517110266159,0.2552304211899279,10,Weekday
Weekday,0.2442588726513569,0.2603874066498782,10,Weekday
Weekday,0.3509174311926605,0.3641997528419882,10,Weekday
Weekday,0.2791970802919708,0.3124454088312658,10,Weekday
Weekday,0.2197802197802197,0.2377005871354855,10,Weekday
Weekday,0.2659574468085106,0.2584391550710356,10,Weekday
Weekday,0.2695035460992908,0.2832431168556791,10,Weekday
Weekday,0.272020725388601,0.2581164270196269,10,Weekday
Weekday,0.2760942760942761,0.3007835595776772,10,Weekday
Weekday,0.325,0.3140361062941708,12,Weekday
Weekday,0.251993620414673,0.2721637871844478,12,Weekday
Weekday,0.2713347921225383,0.294815662196097,12,Weekday
Weekday,0.2832369942196532,0.2851586965932541,12,Weekday
Weekday,0.3149171270718232,0.3291479554388049,12,Weekday
Weekday,0.2958801498127341,0.3219518510551193,12,Weekday
Weekday,0.2589531680440771,0.2627613981762918,12,Weekday
Weekday,0.2529510961214165,0.282091371461029,12,Weekday
Weekday,0.209471766848816,0.238238961612111,12,Weekday
Weekday,0.3375314861460957,0.3527930793768651,12,Weekday
Weekday,0.2960526315789473,0.3082334500863502,12,Weekday
Weekday,0.2519480519480519,0.2582735135364869,12,Weekday
Weekday,0.3402366863905325,0.3444995708052018,15,Weekday
Weekday,0.2720403022670025,0.2865801176683772,15,Weekday
Weekday,0.3058510638297872,0.3058595573635811,15,Weekday
Weekday,0.2817460317460317,0.2920352437335847,15,Weekday
Weekday,0.3202979515828678,0.325771991368908,15,Weekday
Weekday,0.3384615384615385,0.3446986093254168,15,Weekday
Weekday,0.2698072805139186,0.2591036795465835,15,Weekday
Weekday,0.288135593220339,0.2893517597502417,15,Weekday
Weekday,0.2470588235294117,0.2432842568635596,15,Weekday
Weekday,0.257602862254025,0.2812718069981929,15,Weekday
Weekday,0.35,0.3564333991172226,15,Weekday
Weekday,0.3422053231939163,0.3244573117173736,15,Weekday
Weekday,0.2404761904761904,0.2497852030757545,15,Weekday
Weekday,0.2323008849557522,0.2720104827090121,15,Weekday
Weekday,0.2417437252311756,0.2489735837720062,15,Weekday
Weekend,0.2888198757763975,0.2940754990599905,10,Weekend
Weekend,0.3140495867768595,0.3150447797735025,10,Weekend
Weekend,0.2062706270627062,0.2356576894522213,10,Weekend
Weekend,0.2746478873239437,0.280181922096305,10,Weekend
Weekend,0.2741935483870967,0.2696671784886694,10,Weekend
Weekend,0.2954545454545454,0.3060820259835038,10,Weekend
Weekend,0.3133640552995391,0.3135941994596597,10,Weekend
Weekend,0.2830578512396694,0.2884833038987723,10,Weekend
Weekend,0.3646055437100213,0.3765958581147534,10,Weekend
Weekend,0.2857142857142857,0.300037508099695,10,Weekend
Weekend,0.2959427207637231,0.3315836416151542,12,Weekend
Weekend,0.3,0.3191860938980084,12,Weekend
Weekend,0.2556962025316455,0.2543745402778978,12,Weekend
Weekend,0.2763636363636363,0.313015438507566,12,Weekend
Weekend,0.2747826086956522,0.287481680929741,12,Weekend
Weekend,0.3304535637149028,0.3626754464761502,12,Weekend
Weekend,0.2732342007434944,0.2833608185939694,12,Weekend
Weekend,0.3218142548596112,0.3287500349804984,12,Weekend
Weekend,0.2607594936708861,0.2807714841123256,12,Weekend
Weekend,0.3507853403141361,0.3497224356434882,12,Weekend
Weekend,0.2569060773480663,0.2541008080902515,12,Weekend
Weekend,0.2188976377952756,0.2349087080313228,12,Weekend
Weekend,0.3043478260869565,0.3189503605731763,15,Weekend
Weekend,0.2948717948717949,0.3040225852818935,15,Weekend
Weekend,0.2170283806343906,0.2364531319220006,15,Weekend
Weekend,0.3455056179775281,0.3542693900832846,15,Weekend
Weekend,0.2684426229508196,0.2845442711178564,15,Weekend
Weekend,0.2702169625246548,0.28449233398858,15,Weekend
Weekend,0.2640776699029126,0.2645322405529836,15,Weekend
Weekend,0.3212121212121212,0.3176039275666211,15,Weekend
Weekend,0.2871690427698574,0.3140786892863057,15,Weekend
Weekend,0.3214285714285714,0.3280291847827066,15,Weekend
Weekend,0.3386075949367088,0.3518322510822511,15,Weekend
Weekend,0.3730407523510972,0.3537065096159327,15,Weekend
Weekend,0.2659340659340659,0.2779068670713362,15,Weekend
Weekend,0.3180914512922465,0.3311211951097722,15,Weekend
Weekend,0.2821576763485477,0.2974352534781548,15,Weekend
