Time,weighted_hs,unweighted_hs
Weekend,0.3215258855585831,0.3124602719430306
Weekend,0.2566585956416465,0.2633883926120903
Weekend,0.31336405529953915,0.3135941994596597
Weekend,0.32629107981220656,0.3656900792595948
Weekday,0.2757731958762887,0.2681276015301967
Weekday,0.24916943521594684,0.2611683587461225
Weekday,0.28958333333333336,0.2986465322511143
Weekday,0.26229508196721313,0.2774890816376884
Weekday,0.3885542168674699,0.4140441518450915
Weekday,0.34285714285714286,0.3626197831327039
Weekday,0.33980582524271846,0.3405314585911601
Weekend,0.27873563218390807,0.2972170165495819
Weekend,0.29411764705882354,0.3063292434659764
Weekend,0.2747875354107649,0.2810926060693917
Weekend,0.296078431372549,0.3017204056575823
Weekend,0.3055555555555556,0.3104867507612462
Weekend,0.3100303951367781,0.300066969715926
Weekend,0.3088235294117647,0.2966266981100741
Weekend,0.3310344827586207,0.3388621249487856
Weekend,0.25448028673835127,0.2606703545974738
Weekend,0.3160270880361174,0.3383009560715735
Weekend,0.3498452012383901,0.3609697501530532
Weekend,0.2997601918465228,0.3191845231249094
Weekend,0.3192771084337349,0.3547209702062643
Weekend,0.2493150684931507,0.2557306832560163
Weekend,0.3544973544973545,0.3697619665595048
Weekend,0.2766323024054983,0.2872439061990781
Weekday,0.2668269230769231,0.2860222787561396
Weekday,0.2518301610541728,0.278990105902086
Weekday,0.2131782945736434,0.2199130802273463
Weekday,0.18072289156626506,0.211326121510015
Weekday,0.28994082840236685,0.3309042723547539
Weekday,0.24861878453038674,0.260331578522769
Weekday,0.23529411764705882,0.2494338829514331
Weekday,0.20641282565130262,0.2337243181072641
Weekday,0.2857142857142857,0.3079114720295438
Weekday,0.2702702702702703,0.2766987556200619
Weekday,0.23620309050772628,0.2708892141747616
Weekday,0.3289817232375979,0.3248176734633222
Weekday,0.24292845257903495,0.2634049557187544
Weekday,0.29873417721518986,0.2974004474365212
Weekday,0.3435754189944134,0.3610785389537317
Weekday,0.2964426877470356,0.2834343808333718
Weekday,0.27705627705627706,0.3059959820278434
Weekday,0.2948717948717949,0.306640654026141
Weekday,0.3100358422939068,0.3434319295989127
Weekday,0.29863013698630136,0.3322066927518764
Weekday,0.2864450127877238,0.3044366705154748
Weekday,0.2739463601532567,0.2778244493651786
Weekday,0.263768115942029,0.2775036747343715
Weekend,0.2732919254658385,0.2802459913034737
Weekend,0.3502824858757062,0.3465803600086373
Weekend,0.2687385740402194,0.2854555193995421
Weekend,0.3052109181141439,0.3096559926226075
Weekend,0.2772020725388601,0.2801414347240709
Weekend,0.3507692307692308,0.3611966533162185
Weekend,0.33163265306122447,0.3568624715811175
Weekend,0.30376940133037694,0.3191629515772485
Weekend,0.25384615384615383,0.2762777650700655
Weekend,0.3271276595744681,0.3388934290641607
Weekend,0.22342342342342342,0.2266943882488737
Weekend,0.2685025817555938,0.3009460824836806
Weekend,0.3007915567282322,0.3211777186429967
Weekend,0.3103448275862069,0.3666804139310533
Weekend,0.24301075268817204,0.2710634588977926
Weekend,0.215929203539823,0.2466109965629613
Weekday,0.35564853556485354,0.3552565499590671
Weekday,0.23788546255506607,0.254881760304991
Weekday,0.2712871287128713,0.2897378324033181
Weekday,0.24961715160796324,0.2574849775677375
Weekday,0.27906976744186046,0.2976064806443463
Weekday,0.3490566037735849,0.3640187043644201
Weekday,0.34022988505747126,0.3530400749304411
Weekday,0.2989949748743719,0.3349964527370813
Weekend,0.28501228501228504,0.2871185026016959
Weekend,0.30825688073394497,0.3261716223533091
Weekend,0.23747680890538034,0.2579816804442102
Weekend,0.3164251207729469,0.3295933096171594
Weekday,0.2595978062157221,0.282490668188037
Weekday,0.21322537112010798,0.2332333238160179
Weekday,0.286697247706422,0.2904730852478036
Weekday,0.2668463611859838,0.2633228250797292
Weekday,0.27488151658767773,0.2828587145728681
Weekday,0.22939866369710468,0.23938468528525
Weekday,0.256,0.2669001178560002
Weekday,0.3,0.2708310873734602
Weekday,0.2826666666666667,0.2922083452953167
Weekday,0.28028503562945367,0.289026298806566
Weekday,0.23741007194244604,0.277565106876868
Weekend,0.2994652406417112,0.3131078978786789
Weekend,0.2222222222222222,0.2644199134199134
Weekend,0.24354243542435425,0.2761148180095336
Weekend,0.3764705882352941,0.3747414283143641
Weekend,0.310126582278481,0.3401737433202222
Weekend,0.2554585152838428,0.2635467669452604
Weekend,0.284375,0.2683156503411567
Weekend,0.28109028960817717,0.3053899596035104
Weekday,0.2786177105831533,0.2930253390746055
Weekday,0.265748031496063,0.2893544851277158
Weekday,0.19553072625698323,0.2216171937173196
Weekday,0.2459605026929982,0.2794136763729941
Weekday,0.2574074074074074,0.278081215125291
Weekday,0.2575107296137339,0.3005885439036192
Weekday,0.27414330218068533,0.2645631626992732
Weekday,0.24293785310734464,0.2567484000844446
Weekday,0.2887323943661972,0.2741058841369544
Weekday,0.2551834130781499,0.2830044534966717
Weekday,0.33035714285714285,0.3425003682046086
Weekday,0.3447204968944099,0.3530038982234278
Weekday,0.2847222222222222,0.315364863970424
Weekday,0.25,0.2501611625472125
Weekday,0.26732673267326734,0.295442883725791
Weekday,0.3394255874673629,0.3463342355286089
Weekend,0.3108108108108108,0.3087316876217331
Weekend,0.23965141612200436,0.2699444282745623
Weekend,0.30340557275541796,0.3078252063603098
Weekend,0.3293838862559242,0.3647428910951999
Weekend,0.3341902313624679,0.3458982090167856
Weekend,0.28164556962025317,0.2936064439644161
Weekend,0.2867647058823529,0.2976909194208854
Weekend,0.2653061224489796,0.270116647461245
Weekend,0.3347457627118644,0.3718683824420826
Weekend,0.2623376623376623,0.2633715564785652
Weekend,0.3146417445482866,0.3331485826224974
Weekday,0.33890214797136037,0.3641891058841038
Weekend,0.2861111111111111,0.3023182659621189
Weekend,0.3237597911227154,0.3367291334396597
Weekend,0.3014018691588785,0.314610894544211
Weekend,0.2903225806451613,0.3169882161615623
Weekend,0.27615062761506276,0.2881127403062887
Weekend,0.2155425219941349,0.2576542178106693
Weekday,0.2820037105751391,0.2963620546277439
Weekday,0.3375796178343949,0.3684001232466473
Weekday,0.2620545073375262,0.2638720208114868
Weekday,0.25857519788918204,0.2573306329449593
Weekday,0.38283828382838286,0.377318792150819
Weekend,0.2222222222222222,0.2226067858975396
Weekend,0.3287671232876712,0.3388713391871286
Weekend,0.2854122621564482,0.3069118655109367
Weekend,0.2556053811659193,0.2738175425837442
Weekend,0.25117004680187205,0.2800779545467191
Weekend,0.33098591549295775,0.3273669635821626
Weekend,0.24946236559139784,0.2708365556833925
Weekend,0.2982456140350877,0.2991151088815852
Weekend,0.3176470588235294,0.3300316673057102
Weekend,0.2775862068965517,0.2823372196980639
Weekend,0.24838709677419354,0.2767255405330738
Weekday,0.2966226138032305,0.308064806428996
Weekday,0.2720156555772994,0.2733680474535679
Weekday,0.23652173913043478,0.2385805753792433
Weekday,0.2962085308056872,0.3317703432288603
Weekday,0.20947176684881602,0.238238961612111
Weekday,0.2885375494071146,0.2979436970552603
Weekday,0.26641651031894936,0.2908478674103674
Weekday,0.22002820874471085,0.2546246505969741
Weekday,0.2644135188866799,0.2882167010466321
Weekday,0.26407766990291265,0.3420493579471548
Weekday,0.3141592920353982,0.3063865546218487
Weekday,0.26252983293556087,0.271199522089553
Weekday,0.2834467120181406,0.3048550175642001
Weekday,0.23148148148148148,0.251325443958361
Weekend,0.28153153153153154,0.3155708770657983
Weekend,0.2695167286245353,0.3019531517414129
Weekend,0.20725388601036268,0.2226350801280884
Weekend,0.2882205513784461,0.2921543270417315
Weekend,0.28752642706131076,0.313069625923267
Weekend,0.32839506172839505,0.3460285076919542
Weekend,0.26,0.2695575268695251
Weekday,0.3720472440944882,0.3905389923082301
Weekday,0.2757847533632287,0.2916566111950114
Weekday,0.39143730886850153,0.4116156516982223
Weekday,0.32018561484918795,0.3325783063567272
Weekday,0.21868365180467092,0.254023836333869
Weekday,0.3053435114503817,0.3151597798866469
Weekday,0.3094262295081967,0.3149519314382465
Weekday,0.25934579439252337,0.2675842354658144
Weekday,0.2347417840375587,0.2504040441442959
Weekend,0.34444444444444444,0.3493878073804916
Weekend,0.29435483870967744,0.3039724573307951
Weekend,0.28354430379746837,0.3255430580186771
Weekend,0.2581699346405229,0.2859198525901566
Weekend,0.27405857740585776,0.2828549459032362
Weekend,0.29227557411273486,0.3067181957960725
Weekday,0.30238726790450926,0.3461656034024455
Weekday,0.3006134969325153,0.3123370120789323
Weekday,0.3152610441767068,0.3148550343423039
Weekday,0.3229357798165138,0.328060298926481
Weekday,0.29545454545454547,0.3194822680219434
Weekday,0.3005893909626719,0.3210624011240709
Weekday,0.2595936794582393,0.2683189053235019
Weekday,0.2853333333333333,0.288987306123529
Weekday,0.2755741127348643,0.3041258364504481
Weekend,0.33186813186813185,0.3311089716771676
Weekday,0.3561368209255533,0.3540444819635651
Weekday,0.33066666666666666,0.3252535355605657
Weekend,0.25158227848101267,0.2751624323318603
Weekday,0.38738738738738737,0.382985109391912
Weekday,0.20161290322580644,0.2443293944236021
Weekday,0.22258064516129034,0.2280567503795534
Weekday,0.28540305010893247,0.3086169176647087
Weekday,0.29411764705882354,0.2930374106378337
Weekday,0.29526462395543174,0.3076360939112487
Weekday,0.2585616438356164,0.2547832892556578
Weekday,0.3422459893048128,0.3913578721999122
Weekday,0.26833073322932915,0.2751913549263766
Weekday,0.28870292887029286,0.2888385779660004
Weekday,0.25990491283676703,0.2658151479942998
Weekday,0.21629213483146068,0.2199895798197383
Weekday,0.2922868741542625,0.3278762425399896
Weekday,0.30392156862745096,0.3212055940126404
Weekday,0.3373493975903614,0.3626283891547049
Weekday,0.27053140096618356,0.2714629556830368
Weekday,0.29310344827586204,0.2990458334601458
Weekday,0.35782747603833864,0.3617765053007012
Weekday,0.2822429906542056,0.2947013398062873
Weekday,0.21903052064631956,0.2394317214904679
Weekday,0.31926121372031663,0.3325769046506374
Weekday,0.24691358024691357,0.2542729113536567
Weekday,0.29300567107750475,0.2993041771041484
Weekday,0.2682926829268293,0.2837498762498762
Weekday,0.3075313807531381,0.3410371435682376
Weekday,0.27450980392156865,0.318589627663931
Weekday,0.317351598173516,0.3229937422331578
Weekday,0.24836601307189543,0.2613823362212235
Weekday,0.22405271828665568,0.2412677231791108
Weekday,0.2962138084632517,0.3013453267763612
Weekday,0.23731587561374795,0.2409098515083472
Weekday,0.2659279778393352,0.2666047727264891
Weekday,0.3872832369942196,0.3897265781772384
Weekday,0.22706766917293233,0.2265402681400034
Weekday,0.31137724550898205,0.3301654575642582
Weekday,0.3203342618384401,0.3525251604767939
Weekday,0.36056338028169016,0.3744219775044615
Weekday,0.3194103194103194,0.3343017908768344
Weekday,0.2890295358649789,0.292235936586658
Weekday,0.1968,0.1991223756638518
Weekday,0.22644628099173553,0.2290548010990281
Weekday,0.23908918406072105,0.2603043565656386
Weekday,0.2631578947368421,0.2719509218551464
Weekday,0.22764227642276422,0.2701528945897638
Weekday,0.29023746701846964,0.3003808256446121
Weekday,0.2837573385518591,0.2858320225851986
Weekday,0.301010101010101,0.3331588115667986
Weekday,0.2628398791540785,0.2865815653063797
Weekday,0.3228346456692913,0.3342862130199485
Weekday,0.32326820603907636,0.3182359880530824
Weekday,0.2937062937062937,0.3078989467830287
Weekday,0.34851936218678814,0.3833643989328235
Weekday,0.33266932270916333,0.3397995572936406
Weekday,0.3439024390243902,0.3790662966094528
Weekday,0.3378839590443686,0.3450257401771737
Weekday,0.2812006319115324,0.2949771376051755
Weekend,0.3333333333333333,0.3536401470268693
Weekend,0.31378299120234604,0.3414283476923592
Weekend,0.32432432432432434,0.3336529350764733
Weekend,0.4095744680851064,0.4252518558285878
Weekend,0.3345070422535211,0.3773831303190723
Weekend,0.2881773399014778,0.2964217523719377
Weekend,0.25157232704402516,0.2622814099796197
Weekend,0.27391304347826084,0.2808376897922207
Weekend,0.2964071856287425,0.3128484425212497
Weekend,0.31096196868008946,0.3023020880901245
Weekend,0.2878787878787879,0.3051807662186223
Weekend,0.33962264150943394,0.3391246519271306
Weekend,0.25040916530278234,0.2622100224197511
Weekend,0.2670250896057348,0.2734152769737491
Weekend,0.21715328467153286,0.2513682292283987
Weekend,0.3691860465116279,0.3804587644952483
Weekend,0.2603938730853392,0.2896209873298633
Weekend,0.26376146788990823,0.2761502860770674
Weekend,0.2540192926045016,0.2815209091859409
Weekend,0.2911392405063291,0.3016950357065765
Weekday,0.3873626373626374,0.3819635755213849
Weekend,0.36989795918367346,0.3897093183039432
Weekend,0.3142857142857143,0.3236399742188449
Weekend,0.3067226890756303,0.325651365666849
Weekend,0.1840277777777778,0.2247499545751078
Weekend,0.2821576763485477,0.2924975883735474
Weekday,0.28807339449541286,0.3299032606711765
Weekday,0.295668549905838,0.297506456734191
Weekday,0.3057644110275689,0.3119004000091551
Weekday,0.3397129186602871,0.3598115051528385
Weekday,0.232421875,0.2384069777569727
Weekday,0.3333333333333333,0.3415473398124786
Weekday,0.354014598540146,0.3984605821792754
Weekday,0.21765913757700206,0.2252622968036643
Weekday,0.27245949926362295,0.2874790404849352
Weekday,0.2587548638132296,0.2684187610089359
Weekday,0.21212121212121213,0.2495489607050885
Weekday,0.29,0.2980211874580598
Weekday,0.2126514131897712,0.245414244148123
Weekday,0.3724340175953079,0.3636707082795521
Weekday,0.27249357326478146,0.2929788594422741
Weekday,0.3298538622129436,0.3359690603514133
Weekday,0.3782894736842105,0.3782913184640103
Weekday,0.2727272727272727,0.2838219963441781
Weekday,0.35658914728682173,0.3578919337154159
Weekday,0.29512893982808025,0.2990991250052145
Weekday,0.3060428849902534,0.3282428585640563
Weekend,0.2323943661971831,0.2176524820916437
Weekend,0.2914572864321608,0.2993475602632373
Weekend,0.30501089324618735,0.3137373648673958
Weekend,0.29846938775510207,0.3068094527666139
Weekend,0.28665207877461707,0.2998839644275216
Weekend,0.3134715025906736,0.3402363570303714
Weekend,0.3014705882352941,0.3179880559518939
Weekend,0.27680798004987534,0.273185265378062
Weekend,0.32894736842105265,0.332314148363342
Weekend,0.27977315689981097,0.276119629457407
Weekend,0.21294363256784968,0.2096963238023468
Weekend,0.30579964850615116,0.3045139034314622
Weekend,0.2854251012145749,0.2914696112134488
Weekend,0.31767955801104975,0.3499603757885665
Weekend,0.2607913669064748,0.2732193826088672
Weekend,0.25392670157068065,0.2608763423119432
Weekend,0.2857142857142857,0.2838132739228699
Weekend,0.21145374449339208,0.2328592802128083
Weekend,0.3047619047619048,0.3220950223523753
Weekday,0.3,0.3176214461978883
Weekday,0.2824675324675325,0.3070830572321131
Weekday,0.271356783919598,0.2690842163749586
Weekday,0.2892561983471074,0.2973591726036436
Weekday,0.3038961038961039,0.3090880851433001
Weekend,0.27399650959860383,0.285295637887272
Weekend,0.33974358974358976,0.3437748482320189
Weekend,0.3396825396825397,0.3309873949480558
Weekend,0.3151515151515151,0.3162860606742185
Weekend,0.2783882783882784,0.2873387688742899
Weekend,0.2465483234714004,0.2794846003432237
Weekday,0.2857142857142857,0.2895797649043493
Weekday,0.3115727002967359,0.3297700293779276
Weekday,0.2838983050847458,0.2946270123730306
Weekday,0.2239089184060721,0.2340433046494376
Weekend,0.2611218568665377,0.2840928213390619
Weekday,0.24074074074074073,0.3036599083895868
Weekend,0.2585858585858586,0.2651609733810362
Weekday,0.29136690647482016,0.3202401823265958
Weekday,0.2620320855614973,0.27294085200766
Weekday,0.3188010899182561,0.3297499965937812
Weekend,0.3492063492063492,0.3584883799026964
Weekend,0.3020833333333333,0.3013363293210854
Weekend,0.2473919523099851,0.2722230546568481
Weekend,0.28735632183908044,0.2984791885169926
Weekend,0.30339805825242716,0.3103251480782046
Weekend,0.27405247813411077,0.2917727443321898
Weekend,0.32207207207207206,0.3237569335434492
Weekend,0.27155172413793105,0.285273562959284
Weekend,0.250936329588015,0.2994688987566286
Weekday,0.35091743119266056,0.3641997528419882
Weekday,0.26157407407407407,0.2638861432059188
Weekday,0.24570446735395188,0.2838953168528456
Weekday,0.3251121076233184,0.3422258811276585
Weekday,0.23429951690821257,0.2772140032327058
Weekday,0.2556131260794473,0.2922326380617661
Weekday,0.26526315789473687,0.2729568379034174
Weekday,0.31007751937984496,0.3056059199385791
